# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0985          	2.54900419e+00	5.64062347e-19	-1.20266763e-02	1.32293439e-03	-5.95700884e-04	2.80390461e-01	1.27582503e+00	1.27317916e+00	2.80390461e-01	-2.80390461e-01	-6.60903904e-03	-5.41763727e-03
0.099           	2.55320995e+00	5.72580296e-19	-1.22038310e-02	1.34242141e-03	-6.01629396e-04	2.80853094e-01	1.27794740e+00	1.27526255e+00	2.80853094e-01	-2.80853094e-01	-6.70354490e-03	-5.50028611e-03
0.0995          	2.55750992e+00	5.81117452e-19	-1.19776901e-02	1.31754591e-03	-6.07583523e-04	2.81326091e-01	1.28007250e+00	1.27743741e+00	2.81326091e-01	-2.81326091e-01	-6.59642856e-03	-5.38126151e-03
0.1             	2.56180684e+00	5.89246300e-19	-1.21753021e-02	1.33928323e-03	-6.13562642e-04	2.81798753e-01	1.28224270e+00	1.27956414e+00	2.81798753e-01	-2.81798753e-01	-6.70121369e-03	-5.47408840e-03
0.1005          	2.56611951e+00	5.97415506e-19	-1.23902328e-02	1.36292561e-03	-6.19560738e-04	2.82273146e-01	1.28442268e+00	1.28169683e+00	2.82273146e-01	-2.82273146e-01	-6.81467714e-03	-5.57555567e-03
0.101           	2.57031099e+00	6.06068041e-19	-1.22467464e-02	1.34714211e-03	-6.25575479e-04	2.82734209e-01	1.28650264e+00	1.28380836e+00	2.82734209e-01	-2.82734209e-01	-6.74894869e-03	-5.49779773e-03
0.1015          	2.57456245e+00	6.15090852e-19	-1.21070611e-02	1.33177672e-03	-6.31595089e-04	2.83201869e-01	1.28861300e+00	1.28594945e+00	2.83201869e-01	-2.83201869e-01	-6.68512562e-03	-5.42193544e-03
0.102           	2.57893177e+00	6.22373225e-19	-1.29276932e-02	1.42204626e-03	-6.37629577e-04	2.83682494e-01	1.29088793e+00	1.28804384e+00	2.83682494e-01	-2.83682494e-01	-7.10147620e-03	-5.82621705e-03
0.1025          	2.58334183e+00	6.30446025e-19	-1.21437819e-02	1.33581601e-03	-6.43665059e-04	2.84167602e-01	1.29300673e+00	1.29033510e+00	2.84167602e-01	-2.84167602e-01	-6.71555600e-03	-5.42822589e-03
0.103           	2.58769715e+00	6.38549511e-19	-1.20975657e-02	1.33073223e-03	-6.49705022e-04	2.84646686e-01	1.29517931e+00	1.29251784e+00	2.84646686e-01	-2.84646686e-01	-6.69848786e-03	-5.39907782e-03
0.1035          	2.59185923e+00	6.46660546e-19	-1.20800885e-02	1.32880973e-03	-6.55745631e-04	2.85104515e-01	1.29725842e+00	1.29460080e+00	2.85104515e-01	-2.85104515e-01	-6.69578987e-03	-5.38429860e-03
0.104           	2.59634542e+00	6.55220150e-19	-1.19896798e-02	1.31886478e-03	-6.61780878e-04	2.85597997e-01	1.29949158e+00	1.29685385e+00	2.85597997e-01	-2.85597997e-01	-6.65662078e-03	-5.33305903e-03
0.1045          	2.60029096e+00	6.62392988e-19	-1.21298135e-02	1.33427948e-03	-6.67810514e-04	2.86032005e-01	1.30147976e+00	1.29881120e+00	2.86032005e-01	-2.86032005e-01	-6.73271725e-03	-5.39709622e-03
0.105           	2.60454417e+00	6.70398565e-19	-1.20778187e-02	1.32856006e-03	-6.73828667e-04	2.86499858e-01	1.30360064e+00	1.30094352e+00	2.86499858e-01	-2.86499858e-01	-6.71273802e-03	-5.36508069e-03
0.1055          	2.60887166e+00	6.79126776e-19	-1.19096253e-02	1.31005878e-03	-6.79830243e-04	2.86975882e-01	1.30574589e+00	1.30312577e+00	2.86975882e-01	-2.86975882e-01	-6.63464289e-03	-5.27498241e-03
0.106           	2.61304993e+00	6.85487583e-19	-1.26025975e-02	1.38628573e-03	-6.85818795e-04	2.87435492e-01	1.30791125e+00	1.30513868e+00	2.87435492e-01	-2.87435492e-01	-6.98711755e-03	-5.61547996e-03
0.1065          	2.61741225e+00	6.93753609e-19	-1.26910480e-02	1.39601528e-03	-6.91790274e-04	2.87915347e-01	1.31010214e+00	1.30731011e+00	2.87915347e-01	-2.87915347e-01	-7.03731426e-03	-5.65373371e-03
0.107           	2.62193424e+00	7.01111796e-19	-1.21442412e-02	1.33586653e-03	-6.97739326e-04	2.88412766e-01	1.31230298e+00	1.30963125e+00	2.88412766e-01	-2.88412766e-01	-6.76985992e-03	-5.37438127e-03
0.1075          	2.62592348e+00	7.07918379e-19	-1.21920903e-02	1.34112993e-03	-7.03661658e-04	2.88851583e-01	1.31430287e+00	1.31162061e+00	2.88851583e-01	-2.88851583e-01	-6.79970679e-03	-5.39238347e-03
0.108           	2.63030837e+00	7.15336100e-19	-1.23386108e-02	1.35724718e-03	-7.09550188e-04	2.89333921e-01	1.31651143e+00	1.31379694e+00	2.89333921e-01	-2.89333921e-01	-6.87885557e-03	-5.45975519e-03
0.1085          	2.63496445e+00	7.22301612e-19	-1.27972818e-02	1.40770100e-03	-7.15392064e-04	2.89846089e-01	1.31888992e+00	1.31607452e+00	2.89846089e-01	-2.89846089e-01	-7.11403298e-03	-5.68324886e-03
0.109           	2.63879410e+00	7.30349915e-19	-1.22146250e-02	1.34360875e-03	-7.21209734e-04	2.90267351e-01	1.32074066e+00	1.31805344e+00	2.90267351e-01	-2.90267351e-01	-6.82852221e-03	-5.38610275e-03
0.1095          	2.64304677e+00	7.37799448e-19	-1.20214935e-02	1.32236428e-03	-7.26986210e-04	2.90735145e-01	1.32284575e+00	1.32020102e+00	2.90735145e-01	-2.90735145e-01	-6.73773296e-03	-5.28376054e-03
0.11            	2.64756729e+00	7.44458817e-19	-1.17287690e-02	1.29016459e-03	-7.32718753e-04	2.91232402e-01	1.32507381e+00	1.32249348e+00	2.91232402e-01	-2.91232402e-01	-6.59710327e-03	-5.13166576e-03
0.1105          	2.65199983e+00	7.52344561e-19	-1.13216656e-02	1.24538322e-03	-7.38403556e-04	2.91719982e-01	1.32724530e+00	1.32475453e+00	2.91719982e-01	-2.91719982e-01	-6.39923638e-03	-4.92242927e-03
0.111           	2.65573001e+00	7.60785000e-19	-1.20466780e-02	1.32513457e-03	-7.44015249e-04	2.92130301e-01	1.32919014e+00	1.32653987e+00	2.92130301e-01	-2.92130301e-01	-6.76735422e-03	-5.27932373e-03
0.1115          	2.66013168e+00	7.68867183e-19	-1.16851947e-02	1.28537141e-03	-7.49566392e-04	2.92614485e-01	1.33135121e+00	1.32878047e+00	2.92614485e-01	-2.92614485e-01	-6.59216373e-03	-5.09303095e-03
