# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
2.297           	3.08696283e+00	1.97232264e-18	4.36479661e-01	-4.80127627e-02	-1.79512160e-02	3.39565912e-01	1.49546865e+00	1.59149418e+00	3.39565912e-01	-3.39565912e-01	2.00288614e-01	2.36191046e-01
2.2975          	3.08713785e+00	1.96876273e-18	4.38585946e-01	-4.82444540e-02	-1.82352772e-02	3.39585163e-01	1.49532447e+00	1.59181338e+00	3.39585163e-01	-3.39585163e-01	2.01057696e-01	2.37528250e-01
2.298           	3.08744616e+00	1.96561769e-18	4.40697862e-01	-4.84767649e-02	-1.85133963e-02	3.39619077e-01	1.49524631e+00	1.59219984e+00	3.39619077e-01	-3.39619077e-01	2.01835535e-01	2.38862328e-01
2.2985          	3.08766072e+00	1.96229142e-18	4.42760511e-01	-4.87036562e-02	-1.87862833e-02	3.39642679e-01	1.49512670e+00	1.59253402e+00	3.39642679e-01	-3.39642679e-01	2.02593972e-01	2.40166539e-01
2.299           	3.08779240e+00	1.95855745e-18	4.44953239e-01	-4.89448563e-02	-1.90544641e-02	3.39657164e-01	1.49495135e+00	1.59284106e+00	3.39657164e-01	-3.39657164e-01	2.03422156e-01	2.41531084e-01
2.2995          	3.08799885e+00	1.95546868e-18	4.47125323e-01	-4.91837855e-02	-1.93184419e-02	3.39679874e-01	1.49481564e+00	1.59318321e+00	3.39679874e-01	-3.39679874e-01	2.04244220e-01	2.42881103e-01
2.3             	3.08834173e+00	1.95251564e-18	4.49106441e-01	-4.94017085e-02	-1.95786433e-02	3.39717590e-01	1.49476916e+00	1.59357257e+00	3.39717590e-01	-3.39717590e-01	2.04974577e-01	2.44131864e-01
2.3005          	3.08852958e+00	1.94907752e-18	4.51066641e-01	-4.96173305e-02	-1.98354344e-02	3.39738254e-01	1.49464746e+00	1.59388212e+00	3.39738254e-01	-3.39738254e-01	2.05697886e-01	2.45368755e-01
2.301           	3.08876201e+00	1.94596259e-18	4.53236942e-01	-4.98560636e-02	-1.96265199e-02	3.39763821e-01	1.49452494e+00	1.59423707e+00	3.39763821e-01	-3.39763821e-01	2.06991951e-01	2.46244991e-01
2.3015          	3.08916204e+00	1.94219914e-18	4.54453465e-01	-4.99898812e-02	-1.94671476e-02	3.39807824e-01	1.49459114e+00	1.59457090e+00	3.39807824e-01	-3.39807824e-01	2.07759585e-01	2.46693880e-01
2.302           	3.08937369e+00	1.93872100e-18	4.56244092e-01	-5.01868501e-02	-1.93482273e-02	3.39831106e-01	1.49450000e+00	1.59487370e+00	3.39831106e-01	-3.39831106e-01	2.08773819e-01	2.47470273e-01
