# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.2             	2.86347897e+00	7.75489576e-19	1.76074626e+00	-1.93682089e-01	3.10008463e-01	3.14982687e-01	1.23805740e+00	1.62542158e+00	3.14982687e-01	-3.14982687e-01	1.19038159e+00	5.70364667e-01
0.201           	2.86296685e+00	8.04213659e-19	1.76004442e+00	-1.93604886e-01	3.84095984e-01	3.14926354e-01	1.23787854e+00	1.62508831e+00	3.14926354e-01	-3.14926354e-01	1.26411819e+00	4.95926227e-01
0.202           	2.86033453e+00	8.22090200e-19	1.75999406e+00	-1.93599347e-01	4.57407027e-01	3.14636799e-01	1.23656792e+00	1.62376661e+00	3.14636799e-01	-3.14636799e-01	1.33740406e+00	4.22590005e-01
0.203           	2.85866377e+00	8.45457855e-19	1.75726710e+00	-1.93299380e-01	5.29791025e-01	3.14453014e-01	1.23603250e+00	1.62263126e+00	3.14453014e-01	-3.14453014e-01	1.40842457e+00	3.48842522e-01
0.204           	2.85550176e+00	8.70873322e-19	1.75419710e+00	-1.92961681e-01	6.01100065e-01	3.14105194e-01	1.23478920e+00	1.62071256e+00	3.14105194e-01	-3.14105194e-01	1.47819861e+00	2.75998484e-01
0.205           	2.85422446e+00	9.01410936e-19	1.75200205e+00	-1.92720225e-01	6.71189191e-01	3.13964691e-01	1.23439201e+00	1.61983246e+00	3.13964691e-01	-3.13964691e-01	1.54719021e+00	2.04811832e-01
0.206           	2.85110660e+00	9.28987680e-19	1.74461495e+00	-1.91907645e-01	7.39916328e-01	3.13621726e-01	1.23364566e+00	1.61746094e+00	3.13621726e-01	-3.13621726e-01	1.61222380e+00	1.32391148e-01
0.207           	2.84879599e+00	9.64465805e-19	1.73844550e+00	-1.91229005e-01	8.07142673e-01	3.13367558e-01	1.23316899e+00	1.61562700e+00	3.13367558e-01	-3.13367558e-01	1.67636542e+00	6.20800779e-02
0.208           	2.85038921e+00	9.95978648e-19	1.73033082e+00	-1.90336390e-01	8.72733444e-01	3.13542813e-01	1.23485822e+00	1.61553100e+00	3.13542813e-01	-3.13542813e-01	1.73789885e+00	-7.56803605e-03
0.209           	2.84978357e+00	1.03502530e-18	1.72484030e+00	-1.89732433e-01	9.36557486e-01	3.13476193e-01	1.23515935e+00	1.61462422e+00	3.13476193e-01	-3.13476193e-01	1.79897764e+00	-7.41373350e-02
0.21            	2.84969391e+00	1.07295250e-18	1.71693802e+00	-1.88863182e-01	9.98487601e-01	3.13466330e-01	1.23598377e+00	1.61371014e+00	3.13466330e-01	-3.13466330e-01	1.85695661e+00	-1.40018591e-01
0.211           	2.84965806e+00	1.12396657e-18	1.70797464e+00	-1.87877211e-01	1.05840017e+00	3.13462386e-01	1.23695182e+00	1.61270624e+00	3.13462386e-01	-3.13462386e-01	1.91238749e+00	-2.04412848e-01
0.212           	2.84915569e+00	1.15589668e-18	1.69546025e+00	-1.86500627e-01	1.11617957e+00	3.13407125e-01	1.23807722e+00	1.61107847e+00	3.13407125e-01	-3.13407125e-01	1.96390970e+00	-2.68449450e-01
0.213           	2.84685739e+00	1.20731769e-18	1.68605789e+00	-1.85466368e-01	1.17171147e+00	3.13154313e-01	1.23796233e+00	1.60889506e+00	3.13154313e-01	-3.13154313e-01	2.01474042e+00	-3.28682525e-01
0.214           	2.84955339e+00	1.25538543e-18	1.67339454e+00	-1.84073400e-01	1.22488923e+00	3.13450873e-01	1.24070329e+00	1.60885009e+00	3.13450873e-01	-3.13450873e-01	2.06158650e+00	-3.88191956e-01
0.215           	2.85207611e+00	1.30706708e-18	1.66006403e+00	-1.82607043e-01	1.27560983e+00	3.13728372e-01	1.24343101e+00	1.60864510e+00	3.13728372e-01	-3.13728372e-01	2.10564184e+00	-4.45577812e-01
0.216           	2.85250510e+00	1.36460953e-18	1.64437782e+00	-1.80881561e-01	1.32377590e+00	3.13775561e-01	1.24537099e+00	1.60713411e+00	3.13775561e-01	-3.13775561e-01	2.14596481e+00	-5.01586985e-01
0.217           	2.85280203e+00	1.41932886e-18	1.62943803e+00	-1.79238183e-01	1.36929563e+00	3.13808224e-01	1.24716283e+00	1.60563920e+00	3.13808224e-01	-3.13808224e-01	2.18401464e+00	-5.54576614e-01
0.218           	2.85371305e+00	1.48049879e-18	1.61235134e+00	-1.77358647e-01	1.41208125e+00	3.13908436e-01	1.24949788e+00	1.60421517e+00	3.13908436e-01	-3.13908436e-01	2.21825692e+00	-6.05905587e-01
0.219           	2.85610475e+00	1.54859229e-18	1.59258559e+00	-1.75184415e-01	1.45205217e+00	3.14171523e-01	1.25286796e+00	1.60323679e+00	3.14171523e-01	-3.14171523e-01	2.24834496e+00	-6.55759371e-01
0.22            	2.86077498e+00	1.62514852e-18	1.57581927e+00	-1.73340120e-01	1.48913355e+00	3.14685248e-01	1.25704737e+00	1.60372761e+00	3.14685248e-01	-3.14685248e-01	2.27704318e+00	-7.01223915e-01
0.221           	2.86399583e+00	1.70815194e-18	1.55741273e+00	-1.71315400e-01	1.52325664e+00	3.15039541e-01	1.26068251e+00	1.60331331e+00	3.15039541e-01	-3.15039541e-01	2.30196301e+00	-7.44550276e-01
0.222           	2.86847331e+00	1.78858063e-18	1.53620833e+00	-1.68982916e-01	1.55435854e+00	3.15532064e-01	1.26525374e+00	1.60321957e+00	3.15532064e-01	-3.15532064e-01	2.32246271e+00	-7.86254380e-01
0.223           	2.87332922e+00	1.88129500e-18	1.51721787e+00	-1.66893966e-01	1.58238296e+00	3.16066214e-01	1.26977065e+00	1.60355858e+00	3.16066214e-01	-3.16066214e-01	2.34099189e+00	-8.23774025e-01
0.224           	2.87672126e+00	1.96510831e-18	1.49556206e+00	-1.64511826e-01	1.60727531e+00	3.16439338e-01	1.27384880e+00	1.60287246e+00	3.16439338e-01	-3.16439338e-01	2.35505633e+00	-8.59494278e-01
