# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.081           	1.90671823e+00	1.34369578e-18	-1.40314925e-02	1.54346418e-03	-3.51527266e-04	2.09739005e-01	9.54902579e-01	9.51815651e-01	2.09739005e-01	-2.09739005e-01	-7.36727352e-03	-6.66421899e-03
0.0815          	1.91200200e+00	1.34864662e-18	-1.35461073e-02	1.49007180e-03	-3.54085132e-04	2.10320220e-01	9.57491070e-01	9.54510927e-01	2.10320220e-01	-2.10320220e-01	-7.12713878e-03	-6.41896851e-03
0.082           	1.91768550e+00	1.35423089e-18	-1.34898151e-02	1.48387966e-03	-3.56698039e-04	2.10945405e-01	9.60326631e-01	9.57358872e-01	2.10945405e-01	-2.10945405e-01	-7.10160557e-03	-6.38820949e-03
0.0825          	1.92283366e+00	1.36057052e-18	-1.34878323e-02	1.48366155e-03	-3.59374125e-04	2.11511703e-01	9.62900493e-01	9.59933170e-01	2.11511703e-01	-2.11511703e-01	-7.10329026e-03	-6.38454201e-03
0.083           	1.92747906e+00	1.36675315e-18	-1.34460461e-02	1.47906507e-03	-3.62111350e-04	2.12022696e-01	9.65218594e-01	9.62260464e-01	2.12022696e-01	-2.12022696e-01	-7.08513439e-03	-6.36091169e-03
0.0835          	1.93237802e+00	1.37357064e-18	-1.34423950e-02	1.47866345e-03	-3.64905989e-04	2.12561582e-01	9.67667671e-01	9.64710344e-01	2.12561582e-01	-2.12561582e-01	-7.08610349e-03	-6.35629151e-03
0.084           	1.93672144e+00	1.37986873e-18	-1.28683037e-02	1.41551340e-03	-3.67761292e-04	2.13039359e-01	9.69776234e-01	9.66945207e-01	2.13039359e-01	-2.13039359e-01	-6.80191313e-03	-6.06639055e-03
0.0845          	1.94196317e+00	1.38424027e-18	-1.48676461e-02	1.63544108e-03	-3.70685214e-04	2.13615949e-01	9.72617027e-01	9.69346144e-01	2.13615949e-01	-2.13615949e-01	-7.80450828e-03	-7.06313786e-03
0.085           	1.94713614e+00	1.38899925e-18	-1.44507815e-02	1.58958597e-03	-3.73693437e-04	2.14184975e-01	9.75157654e-01	9.71978482e-01	2.14184975e-01	-2.14184975e-01	-7.59908421e-03	-6.85169734e-03
0.0855          	1.95244212e+00	1.39548496e-18	-1.47853572e-02	1.62638929e-03	-3.76803554e-04	2.14768633e-01	9.77847447e-01	9.74594668e-01	2.14768633e-01	-2.14768633e-01	-7.76948213e-03	-7.01587502e-03
0.086           	1.95767150e+00	1.40167024e-18	-1.48888067e-02	1.63776873e-03	-3.79984461e-04	2.15343865e-01	9.80473517e-01	9.77197980e-01	2.15343865e-01	-2.15343865e-01	-7.82438780e-03	-7.06441888e-03
0.0865          	1.96335023e+00	1.40730330e-18	-1.47477912e-02	1.62225704e-03	-3.83189847e-04	2.15968525e-01	9.83297371e-01	9.80052857e-01	2.15968525e-01	-2.15968525e-01	-7.75708546e-03	-6.99070577e-03
0.087           	1.96872090e+00	1.41266909e-18	-1.46704078e-02	1.61374485e-03	-3.86426761e-04	2.16559299e-01	9.85974194e-01	9.82746704e-01	2.16559299e-01	-2.16559299e-01	-7.72163064e-03	-6.94877712e-03
0.0875          	1.97413586e+00	1.41868973e-18	-1.46585025e-02	1.61243527e-03	-3.89705400e-04	2.17154944e-01	9.88680364e-01	9.85455493e-01	2.17154944e-01	-2.17154944e-01	-7.71895664e-03	-6.93954584e-03
0.088           	1.97966337e+00	1.42493322e-18	-1.46499726e-02	1.61149698e-03	-3.93028413e-04	2.17762971e-01	9.91443184e-01	9.88220190e-01	2.17762971e-01	-2.17762971e-01	-7.71801470e-03	-6.93195788e-03
0.0885          	1.98504221e+00	1.43145452e-18	-1.48250502e-02	1.63075552e-03	-3.96397512e-04	2.18354643e-01	9.94151858e-01	9.90890347e-01	2.18354643e-01	-2.18354643e-01	-7.80892261e-03	-7.01612759e-03
0.089           	1.98970102e+00	1.43621086e-18	-1.51065785e-02	1.66172364e-03	-3.99820702e-04	2.18867112e-01	9.96512235e-01	9.93188787e-01	2.18867112e-01	-2.18867112e-01	-7.95310995e-03	-7.15346855e-03
0.0895          	1.99544606e+00	1.44269656e-18	-1.49866093e-02	1.64852703e-03	-4.03295158e-04	2.19499066e-01	9.99371555e-01	9.96074501e-01	2.19499066e-01	-2.19499066e-01	-7.89659982e-03	-7.09000950e-03
0.09            	2.00034279e+00	1.44782487e-18	-1.51904382e-02	1.67094821e-03	-4.06827825e-04	2.20037707e-01	1.00184234e+00	9.98500446e-01	2.20037707e-01	-2.20037707e-01	-8.00204695e-03	-7.18839130e-03
